#name zcmb zhel mb dmb ra dec
04D4ju 0.47091 0.472004 23.1005 0.141 334.261353 -17.332813
04D4jy 0.92891 0.93 24.7789 0.1829 333.464905 -17.404896
05D1cb 0.6312 0.631997 23.4092 0.1432 36.737732 -4.117567
05D1ck 0.6162 0.617005 23.56625 0.1433 36.103539 -4.7128
05D1dn 0.5652 0.566004 23.2891 0.13595 36.111038 -4.991558
05D1ee 0.55819 0.558997 23.2494 0.1349 36.194786 -4.000485
05D1eo 0.7362 0.737002 24.06925 0.19205 36.34642 -4.642671
05D1hk 0.2622 0.263005 21.15835 0.1082 36.163235 -4.634253
05D1if 0.7622 0.763006 23.97575 0.15445 36.123871 -4.570338
05D1iz 0.8592 0.859998 24.54425 0.17845 36.553204 -4.77337
05D1kl 0.5592 0.560006 23.6061 0.15165 36.139744 -4.31896
05D2ac 0.48016 0.479001 22.74835 0.1138 149.746811 2.489504
05D2ay 0.92116 0.919996 24.57175 0.18725 150.284668 2.130321
05D2bv 0.47516 0.473995 22.6952 0.109 150.570831 2.2406
05D2by 0.89216 0.890999 24.5781 0.1577 150.116806 2.521539
05D2ci 0.63116 0.629999 23.1617 0.17705 150.008499 2.215852
05D2ct 0.73516 0.733995 24.02845 0.2108 150.425766 2.123794
05D2dw 0.41816 0.417 22.38625 0.1152 149.633621 2.032241
05D2eb 0.53516 0.533999 22.98355 0.1266 150.060684 2.407438
05D2fq 0.73416 0.733001 24.09175 0.17825 149.785431 2.602
05D2he 0.60916 0.607997 23.5447 0.14865 150.360458 2.317729
05D2le 0.70116 0.699995 23.8387 0.16475 150.478653 2.092912
05D2my 0.98216 0.981002 24.78095 0.143 149.631042 2.491221
05D2nt 0.75816 0.756997 24.0557 0.15165 150.242615 2.37273
05D3ax 0.64339 0.643 23.6045 0.2013 214.823257 52.687519
05D3ci 0.51539 0.515003 23.02365 0.1762 215.450439 52.445282
05D3cx 0.80538 0.804995 24.0139 0.1301 215.277252 52.750507
05D3dh 0.80039 0.800003 23.82255 0.1606 215.210007 52.66272
05D3gv 0.71538 0.715001 23.84395 0.19425 215.246887 53.178879
05D3hh 0.76639 0.766003 24.2307 0.1806 214.792297 52.959332
05D3ht 0.90139 0.901003 24.5128 0.1511 214.477921 53.167583
05D3jh 0.71839 0.717995 23.68915 0.15095 214.355774 52.618767
05D3jq 0.57938 0.579 23.1779 0.1197 215.439331 53.029919
05D3km 0.96038 0.960003 24.80925 0.14255 215.659485 53.066998
05D3kt 0.64839 0.648002 23.53665 0.159 214.973831 52.742985
05D3la 0.93639 0.936001 24.4717 0.1405 215.355911 52.357971
05D3lc 0.46138 0.460995 22.76265 0.11115 215.595505 52.478867
05D3mh 0.67039 0.669999 23.78495 0.1775 214.749298 52.667561
05D3mq 0.24639 0.245995 21.16055 0.10805 214.751785 52.38512
05D4ag 0.63892 0.640003 23.49005 0.184 333.447601 -18.165264
05D4be 0.53591 0.537005 23.06945 0.11085 334.222443 -17.236099
05D4bi 0.77391 0.774997 24.17605 0.17625 333.985626 -17.986071
05D4bm 0.37091 0.372001 22.15255 0.1043 334.269226 -17.677624
05D4cq 0.69992 0.701003 23.88895 0.1728 333.540222 -18.226713
05D4cw 0.37391 0.374998 22.11185 0.1039 333.708679 -17.738766
05D4dw 0.85391 0.854998 24.3052 0.1508 334.232819 -18.05146
05D4ef 0.60392 0.605003 23.58805 0.1429 333.497101 -18.212345
05D4ek 0.53491 0.536 22.9223 0.1289 334.114655 -17.736317
05D4ff 0.40091 0.401997 22.2601 0.1151 334.083984 -18.042557
05D4fo 0.37191 0.373003 22.20135 0.10745 333.837128 -17.268076
05D4hn 0.84091 0.841999 24.0253 0.15175 334.306519 -17.912704
06D2ca 0.53216 0.531 23.059 0.11385 149.789825 2.302517
06D2cd 0.93116 0.929998 24.704 0.21015 150.241501 2.534039
06D2ck 0.55316 0.551995 23.2838 0.1242 150.36673 1.86363
06D2ga 0.84116 0.839999 24.3261 0.1858 149.783783 1.938493
06D3bz 0.72739 0.727 23.8687 0.19785 214.29184 53.024826
06D3df 0.44238 0.442001 22.67285 0.1137 215.571701 52.957684
06D3dt 0.2824 0.282002 21.5746 0.1073 214.340271 52.452816
06D3el 0.5194 0.518999 23.03865 0.109 214.254532 52.232403
06D3en 1.06039 1.060002 24.6873 0.16415 215.305573 52.456078
06D3fp 0.26838 0.267995 21.24725 0.1051 215.07753 52.897163
06D3gn 0.2504 0.250002 21.1763 0.1114 214.435959 52.361183
06D4ba 0.69892 0.700004 23.7924 0.2171 333.898895 -18.229116
06D4bw 0.73091 0.731997 23.7684 0.19115 333.765503 -17.883453
06D4cl 0.99891 1.000003 24.6122 0.0953 334.237732 -17.450634
06D4cq 0.40991 0.411001 22.451 0.10895 334.231354 -17.711981
744 0.12694 0.128104 19.5429 0.11965 329.198486 0.317498
1112 0.25609 0.257302 21.3344 0.1818 339.017639 -0.375189
1241 0.08848 0.089686 18.64345 0.10605 337.672516 -0.776589
1371 0.11797 0.119199 19.19345 0.0991 349.37381 0.429384
1580 0.18322 0.183882 20.2951 0.1284 45.323063 -0.644066
1794 0.1407 0.141761 19.871 0.11635 317.836823 -0.445333
2031 0.15186 0.152851 19.7933 0.10325 312.043182 -1.171422
2102 0.09401 0.095007 18.889 0.10285 312.220947 0.191135
2165 0.28662 0.287693 21.6827 0.1504 17.09173 -0.096247
2422 0.26349 0.264684 21.3576 0.14295 1.994533 0.638195
2635 0.1431 0.143622 19.79675 0.1047 52.704308 -1.238076
2689 0.16035 0.16133 19.9329 0.1156 24.900312 -0.758714
2916 0.12303 0.124072 19.3948 0.11665 315.921722 0.569566
2992 0.12608 0.126548 19.36855 0.113 55.49704 -0.782655
3080 0.17315 0.174222 20.15345 0.09925 16.932343 -1.039495
3087 0.16431 0.165344 20.03175 0.1083 20.406706 -0.977236
3317 0.1599 0.160857 19.92285 0.11045 26.962612 0.6406
3377 0.24448 0.24498 20.86815 0.1298 54.156151 1.079169
3451 0.24835 0.249544 20.98175 0.13435 334.069244 0.70813
4046 0.27544 0.276662 21.37075 0.15505 354.498322 0.642106
4241 0.33051 0.331628 21.9321 0.1589 12.237703 -0.90574
4679 0.33103 0.332056 21.82885 0.1481 21.528351 0.676858
5103 0.16059 0.161794 19.98615 0.10955 359.88446 0.737165
5533 0.21887 0.22003 20.87005 0.13435 328.669952 0.41343
5549 0.11991 0.121096 19.36835 0.1021 3.250535 0.248223
5635 0.17839 0.179577 20.72835 0.1286 333.18277 -0.034922
5957 0.27923 0.280071 21.50115 0.13265 34.760574 -0.272839
5994 0.18581 0.186811 20.48365 0.1298 312.602539 -0.167889
6057 0.06641 0.067035 17.9881 0.1134 52.553604 -0.974586
6108 0.258 0.259194 21.2775 0.14285 1.806597 0.348985
6196 0.2798 0.281007 21.2773 0.1398 337.631165 -0.502662
6315 0.26576 0.266737 21.0609 0.1301 310.482819 1.091998
6422 0.185 0.186226 20.37525 0.1056 349.138794 -0.663224
6558 0.05715 0.057329 17.65695 0.1072 21.701672 -1.238135
6924 0.3264 0.327608 21.6733 0.1464 358.96933 0.876966
7147 0.10886 0.110087 19.1721 0.10285 350.018463 -0.055446
7243 0.20323 0.204386 20.7001 0.1382 328.079071 0.47193
7779 0.37986 0.380829 22.13745 0.1395 310.0802 -0.007178
7847 0.2116 0.212477 20.68915 0.12295 32.459949 -0.061799
8495 0.21353 0.214726 20.78295 0.1364 335.261047 -0.748159
8921 0.14409 0.145221 19.83575 0.113 325.001984 -0.007925
9032 0.25249 0.253698 21.1678 0.16095 337.884583 -0.493577
9457 0.25672 0.257921 21.2758 0.1749 335.814362 0.253036
9467 0.21885 0.220014 20.976 0.1685 328.951385 1.180792
12779 0.07883 0.079874 18.5397 0.12205 309.471863 1.221122
12781 0.08282 0.083989 18.7438 0.11605 5.406564 -1.009973
12856 0.17028 0.171468 20.2489 0.107 332.865479 0.755978
12881 0.2367 0.237838 20.87655 0.14325 10.162345 -0.073567
12883 0.30569 0.306692 21.3803 0.19765 312.625885 0.398666
12898 0.08254 0.083497 18.5179 0.1055 26.793083 -0.146964
12927 0.18891 0.189638 20.2039 0.1187 41.78614 0.775128
12950 0.08141 0.082633 18.511 0.10425 351.66745 -0.840276
12972 0.25655 0.257704 21.2564 0.16145 7.958593 -0.382957
13005 0.12622 0.127168 19.58525 0.13485 27.395458 -0.649882
13038 0.10264 0.10387 19.16175 0.1443 347.826782 0.504606
13044 0.12455 0.125735 19.4784 0.1006 332.542755 0.503265
13136 0.37046 0.371627 22.46065 0.1636 6.140682 -0.279061
13152 0.20215 0.203311 20.38595 0.11475 7.052111 0.11801
13254 0.1799 0.18062 20.68245 0.14335 42.058674 -0.347028
13411 0.1618 0.162833 20.1359 0.1299 315.189941 0.191662
13578 0.22669 0.227762 20.8771 0.141 17.394697 0.704158
13610 0.29683 0.297971 21.4449 0.1446 326.014771 0.726284
13689 0.25029 0.251473 21.20115 0.13305 4.016125 0.807558
13736 0.14882 0.150028 19.91815 0.1063 336.833282 1.030971
13796 0.14729 0.148518 19.776 0.10335 350.691559 0.532883
14019 0.21513 0.216177 21.20185 0.1483 316.642426 -0.647952
14024 0.14478 0.145848 19.8106 0.13965 318.198578 0.916348
14108 0.13243 0.132935 19.9293 0.1333 53.594646 -1.12321
14331 0.21975 0.220905 21.00055 0.1346 7.888675 -0.135814
14397 0.38492 0.386084 22.40575 0.14945 6.916098 0.649507
14421 0.174 0.174889 20.3461 0.1115 31.829882 1.252084
14451 0.17789 0.178836 20.20345 0.1224 308.194946 0.927069
14735 0.29936 0.300196 21.51975 0.1301 35.158035 0.348378
14871 0.11845 0.118944 19.44875 0.1339 54.2771 0.00936
14979 0.17653 0.177014 20.2397 0.106 54.946434 0.992816
15057 0.24552 0.246586 21.3752 0.1882 17.881262 0.409492
15129 0.19611 0.197182 20.54825 0.11935 318.902405 -0.321433
15161 0.24852 0.249347 21.09655 0.1326 35.842915 0.819003
15213 0.30632 0.306839 21.77705 0.16135 53.019138 -0.100142
15219 0.24637 0.247215 21.1569 0.13055 34.611145 0.226688
15234 0.13514 0.136217 19.9671 0.1135 16.958336 0.828198
15259 0.21054 0.211747 20.6402 0.1335 337.544189 -0.407819
15287 0.2363 0.237419 21.1547 0.12315 323.959686 -1.057435
15301 0.17851 0.17963 20.37535 0.1134 323.579926 0.589106
15354 0.22068 0.221843 20.81795 0.15445 6.773676 -0.125976
15383 0.31494 0.315791 21.8201 0.1572 34.149532 -0.155162
15421 0.18443 0.185289 20.55175 0.1118 33.7416 0.602507
15440 0.26129 0.262051 21.2036 0.13865 39.720669 0.090127
15443 0.18123 0.181809 20.21145 0.10535 49.867435 -0.31803
15456 0.38048 0.381657 22.03255 0.1506 331.867249 -0.903413
15461 0.18481 0.185954 20.38765 0.1082 326.847473 -0.494677
15467 0.20847 0.209554 20.65465 0.12075 320.019928 -0.177441
15583 0.17706 0.177857 20.33625 0.12905 37.731079 0.946299
15776 0.31582 0.316689 21.7168 0.15355 32.829441 -0.998258
15868 0.24973 0.250516 21.1676 0.1247 38.099796 -0.713578
15901 0.20368 0.204563 20.6509 0.11955 31.976303 -0.535389
16021 0.12336 0.124465 19.4198 0.10285 13.843731 -0.388811
16032 0.20318 0.203865 20.64385 0.12035 44.069218 -0.410771
16073 0.15339 0.154541 20.1226 0.10495 8.107763 -1.054001
16093 0.33439 0.33562 21.9349 0.1592 350.362457 1.132483
16099 0.1958 0.19676 20.5286 0.1151 26.420935 -1.054386
16106 0.24973 0.250908 21.0769 0.14445 332.089355 -1.148781
16116 0.15509 0.156305 20.0251 0.1063 355.302002 -1.105807
16165 0.15596 0.156861 19.98785 0.12595 30.733135 -0.533872
16206 0.15837 0.15954 19.81685 0.12375 5.78819 -0.053633
16211 0.30938 0.310609 21.8114 0.19685 348.164093 0.266932
16213 0.24857 0.249718 21.1261 0.1388 8.971051 0.258405
16281 0.18507 0.186292 20.31575 0.1235 352.942139 -0.668052
17168 0.18376 0.184972 20.5074 0.1247 339.723816 -1.167083
17215 0.18079 0.181274 20.37965 0.13765 54.92638 1.092299
17218 0.17696 0.178176 20.28545 0.129 356.171814 -0.030055
17220 0.17768 0.178821 20.0718 0.12115 9.701524 -0.179249
17240 0.0718 0.072676 18.0121 0.1254 8.640957 -1.217578
17366 0.13811 0.139146 19.66285 0.10475 315.787292 -1.029184
17389 0.1696 0.170713 20.46515 0.1317 323.294861 -0.96015
17464 0.24555 0.246714 20.7198 0.14705 6.640777 0.041985
17497 0.14387 0.144671 19.81665 0.10485 37.13657 -1.042117
17552 0.25191 0.253014 21.2338 0.1462 322.320557 -1.003178
17784 0.03743 0.03705 16.7708 0.1166 52.461727 0.056828
17791 0.27749 0.278675 21.8807 0.2055 332.373291 0.737893
17809 0.28746 0.288624 21.2668 0.1491 6.364582 -0.839571
17811 0.19867 0.199782 20.61015 0.13895 12.878674 -0.947399
17825 0.15999 0.160857 20.07605 0.129 32.947124 -0.912429
17875 0.21075 0.211784 21.0136 0.15075 20.983381 1.254994
17884 0.23775 0.2387 21.0147 0.1316 27.599838 1.172075
18030 0.15517 0.156344 20.14265 0.11795 4.932975 -0.400135
18241 0.09391 0.094906 18.94955 0.14945 312.387726 -0.761723
18323 0.15271 0.153896 20.08555 0.11355 3.428632 0.652155
18325 0.25722 0.258369 21.2741 0.1446 8.905735 0.370035
18466 0.21226 0.212868 20.80065 0.1303 48.418526 0.629998
18486 0.2454 0.245879 20.88445 0.13085 55.180023 1.003079
18602 0.13696 0.138175 19.76485 0.11075 338.983582 0.609241
18617 0.32569 0.326919 21.9051 0.1809 345.761505 0.849165
18697 0.10638 0.107506 19.09035 0.10245 11.223947 -0.997054
18721 0.40127 0.402456 22.30585 0.1602 3.077347 -0.077318
18749 0.18931 0.190429 20.4864 0.13035 12.547336 0.675423
18804 0.19726 0.198237 20.4352 0.1122 25.265629 -0.448449
18809 0.12837 0.128932 19.5616 0.132 50.881317 0.666634
18835 0.12262 0.123127 19.44025 0.1033 53.685146 0.355509
18855 0.12715 0.127753 19.59325 0.10365 48.632347 0.269818
18927 0.21323 0.213867 20.67635 0.1429 46.682472 -0.754019
18940 0.21099 0.212127 20.727 0.12695 10.348955 0.411951
18945 0.26856 0.269695 21.4883 0.15275 10.078404 -1.037373
18965 0.20453 0.205641 20.66435 0.12435 13.509144 1.069021
19002 0.2701 0.27081 21.2859 0.12695 42.615364 -0.551163
19023 0.24185 0.242779 20.98075 0.15175 307.116943 0.006237
19027 0.29114 0.2923 21.236 0.14645 328.884186 -0.371996
19067 0.35346 0.354598 21.81675 0.1515 325.628113 0.984606
19128 0.28543 0.286649 21.60225 0.15435 354.203766 -0.78223
19230 0.21955 0.220738 20.6719 0.1534 332.891022 0.764785
19282 0.17558 0.176784 20.24765 0.1249 359.072235 -0.505872
19341 0.23542 0.236507 20.9929 0.1458 15.860297 0.331394
19353 0.15325 0.153953 19.99965 0.1096 43.114372 0.251817
19425 0.21005 0.211166 20.90475 0.1584 323.508698 -0.740519
19596 0.29135 0.291854 21.51945 0.1501 53.884281 0.703362
19632 0.31376 0.314512 21.8225 0.14945 40.286488 0.144448
19775 0.13687 0.137945 19.7402 0.1138 318.956085 0.651289
19794 0.29567 0.296875 21.7708 0.1925 359.319061 0.249367
19818 0.30394 0.304775 21.49625 0.135 35.266689 0.496411
19913 0.20557 0.20676 20.73155 0.1351 333.762482 -0.341257
